"#Instance","TestCaseName","Algorithm","ExecutionTime","TotalProfit","TotalDataSize","ServerAssignment","Throughput","Phase2TotalProfit","Phase2TotalDataSize","Phase2ServerAssignment","Phase2Throughput"
"1","2.LowDemand-AverageSharing.txt","GreedyAlgorithmPhase1","14","892.2699999999996","1223013","[null, null, null, null, null, null, null, null, null, null, [99], [97], [44, 90], [25], [17], [12, 13, 36], [19, 78], [11, 32], [31, 33], [7, 95], [1, 41, 72], [21, 98], [3, 69], [53, 80, 92], [75, 84], [15, 50], [4, 34, 94], [5, 88], [10, 26, 28, 39], [20, 71], [14, 27], [57, 63, 68], [22, 42, 96], [35, 46, 52, 61, 87], [59, 73, 74, 93], [0, 2, 8, 18, 30, 43, 45, 47, 48, 55, 58, 62, 70, 81, 85, 89], [9, 24, 40, 64, 77, 79, 83, 91], [29, 37, 38, 49, 51, 66, 67], [56], [6, 23, 76, 82, 86]]","96.0","905.41","1251591","[[17], [99], [25], null, null, [44, 90], null, null, null, null, [11, 32], [97], null, null, null, [12, 13, 36], [7, 95], [16], [21, 98], [31, 33], [1, 41, 72], [3, 69], [53, 80, 92], [75, 84], [19, 78], [10, 26, 28, 39], [20, 71], [5, 88], [4, 34, 94], [15, 50], [35, 46, 52, 61, 87], [22, 42, 96], [14, 27], [57, 63, 68], [59, 73, 74, 93], [0, 2, 8, 18, 30, 43, 45, 47, 48, 55, 58, 62, 70, 81, 85, 89], [9, 24, 40, 64, 77, 79, 83, 91], [29, 37, 38, 49, 51, 66, 67], [6, 23, 76, 82, 86], [56]]","97.0"
"1","3.LowDemand-HighSharing.txt","GreedyAlgorithmPhase1","16","905.4099999999996","1529686","[null, null, null, null, null, [93, 95], null, null, null, null, [25], [98], [7, 80], [74], [32], [4, 26, 72], [33, 78, 87], [20, 77], [1, 59], [6, 44], [28, 94], [88], [12, 50], [19, 31], [46, 97], [14, 22], [23, 57], [96, 99], [34, 52, 53], [15, 35, 69, 73], [3, 66, 90], [21, 67, 76, 82, 86], [27, 51, 92], [16, 63, 75], [42, 47, 84], [0, 2, 9, 17, 18, 24, 30, 39, 43, 48, 55, 62, 81, 85], [8, 13, 41, 45, 58, 61, 64, 68, 70, 83], [11, 40, 49, 79, 89, 91], [5, 10, 29, 36, 37, 38, 71], [56]]","97.0","905.4099999999999","1529686","[[74], [32], [93, 95], [25], null, [7, 80], [98], null, null, null, [20, 77], [6, 44], null, null, null, [4, 26, 72], [33, 78, 87], [1, 59], null, null, [46, 97], [12, 50], [88], [28, 94], [19, 31], [14, 22], [96, 99], [23, 57], [34, 52, 53], [15, 35, 69, 73], [42, 47, 84], [21, 67, 76, 82, 86], [3, 66, 90], [27, 51, 92], [16, 63, 75], [0, 2, 9, 17, 18, 24, 30, 39, 43, 48, 55, 62, 81, 85], [8, 13, 41, 45, 58, 61, 64, 68, 70, 83], [11, 40, 49, 79, 89, 91], [5, 10, 29, 36, 37, 38, 71], [56]]","97.0"
"1","4.AverageDemand-LowSharing.txt","GreedyAlgorithmPhase1","23","646.3699999999999","587904","[null, null, null, null, null, null, null, null, null, null, [83], [66], null, null, null, [72], [61], [11], [81], [31], [28, 47], [27, 32, 49], [10, 67, 69, 77], [23, 52], [78, 89], [95, 98], [5, 14, 75], [36, 46, 73], [4, 9, 64], [38, 87, 90], [51, 74], [34, 56, 99], [29, 35], [44, 45, 63], [48, 59], [0, 18, 30, 39, 43, 53, 55, 57, 70, 96], [7, 40, 54, 92, 93, 94, 97], [26, 79, 82], [15, 86], [12, 16, 84, 91]]","72.0","663.9099999999999","557717","[[83], [61], [66], null, null, [11], [72], [31], [81], null, null, null, null, null, null, [23, 52], null, null, null, null, [28, 47], [27, 32, 49], [10, 67, 69, 77], [78, 89], null, [5, 14, 75], [38, 87, 90], [4, 9, 64], [8], [36, 46, 73], [34, 56, 99], [44, 45, 63], [13], [48, 59], [51, 74], [0, 18, 30, 39, 43, 53, 55, 57, 70, 96], [7, 40, 54, 92, 93, 94, 97], [12, 16, 84, 91], [26, 79, 82], [15, 86]]","70.0"
"1","5.AverageDemand-AverageSharing.txt","GreedyAlgorithmPhase1","21","650.3099999999998","1049273","[null, null, null, null, null, null, null, null, null, null, [11], [54], null, null, null, [31], [95], [75, 78], [5, 90], [44], [59], [4, 16, 32], [9, 81], [61, 97], [72], [39, 91], [74], [28, 29, 69], [35, 73], [12, 36, 87, 92], [26, 52, 82], [8, 10], [66, 79], [15, 23, 63], [34, 46, 86], [14, 30, 40, 47, 53, 55, 56, 57, 70], [0, 7, 18, 43, 49, 96], [38, 48, 67, 83, 93, 94], [45, 64, 77], [27, 51, 84, 89, 98]]","72.0","660.4199999999997","1052695","[[54], [44], null, null, null, [11], [72], [31], null, null, [5, 90], null, null, null, null, [75, 78], [9, 81], [59], [95], null, [61, 97], [4, 16, 32], [99], null, null, [39, 91], [12, 36, 87, 92], [74], [28, 29, 69], [35, 73], [26, 52, 82], [8, 10], [15, 23, 63], [66, 79], [13], [14, 30, 40, 47, 53, 55, 56, 57, 70], [0, 7, 18, 43, 49, 96], [38, 48, 67, 83, 93, 94], [45, 64, 77], [27, 51, 84, 89, 98]]","71.0"
"1","6.AverageDemand-HighSharing.txt","GreedyAlgorithmPhase1","22","662.2299999999997","1325583","[null, null, null, null, null, null, null, null, null, null, [87], [81], [72], null, null, [78], [47], [77], [89], [35], [28, 29], [44, 75], [31], [46, 73], [4], [15, 66], [63, 86], [5, 9, 23], [32, 91], [99], [11, 54, 98], [13], [26, 52, 97], [8, 93], [79, 82], [0, 16, 30, 34, 39, 40, 53, 55, 56, 57, 70, 84], [7, 14, 18, 38, 43, 49, 96], [36, 48, 83, 92, 94], [10, 27, 45, 64, 67, 69], [12, 51, 61, 90]]","71.0","680.8999999999997","1497582","[[89], [35], [87], [4], [78], [47], [77], [72], [31], [81], null, null, null, null, null, [59], [95], null, null, null, [79, 82], [99], [44, 75], [28, 29], [46, 73], [15, 66], [32, 91], [63, 86], [5, 9, 23], [74], [26, 52, 97], [11, 54, 98], [8, 93], [13], [88], [0, 16, 30, 34, 39, 40, 53, 55, 56, 57, 70, 84], [7, 14, 18, 38, 43, 49, 96], [36, 48, 83, 92, 94], [10, 27, 45, 64, 67, 69], [12, 51, 61, 90]]","75.0"
"1","7.HighDemand-LowSharing.txt","GreedyAlgorithmPhase1","13","398.32","366451","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, [88], [36, 62], [66, 76], [83], null, [51], [98], [45], [7, 75], [67, 84], [82], [48, 59, 77], [33, 85], [27, 34, 90], [64], [9, 15, 17, 29, 38, 43], [25, 28, 30, 44, 93], [24, 35, 86], [16, 94], [26, 42]]","41.0","421.20000000000005","393894","[[83], null, null, null, null, null, null, null, null, null, [88], null, null, null, null, [51], null, null, null, null, [36, 62], [67, 84], [66, 76], [45], null, [48, 59, 77], [27, 34, 90], [7, 75], [23], [60], [24, 35, 86], [33, 85], [16, 94], [64], [82], [9, 15, 17, 29, 38, 43], [25, 28, 30, 44, 93], [8], [26, 42], [37]]","44.0"
"1","8.HighDemand-AverageSharing.txt","GreedyAlgorithmPhase1","12","401.36000000000007","729149","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, [7, 84], [75], [17], [36], [90], [16, 42], [44, 51], [23], [24, 59], [98], [33, 45], [64], [26, 35, 67], [34, 94], [82], [15, 27, 29, 38, 62, 77, 83], [30, 43, 93], [9, 28, 48, 76], [66, 85], [25, 86, 88]]","42.0","402.2899999999999","756994","[[90], [36], null, null, null, [75], null, null, null, null, [17], null, null, null, null, [7, 84], null, null, null, null, [16, 42], [24, 59], [44, 51], null, null, [23], [60], [98], null, null, [33, 45], [26, 35, 67], [64], [34, 94], [82], [15, 27, 29, 38, 62, 77, 83], [30, 43, 93], [9, 28, 48, 76], [66, 85], [25, 86, 88]]","43.0"
"1","9.HighDemand-HighSharing.txt","GreedyAlgorithmPhase1","6","392.26000000000016","775572","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, [35, 59], null, null, null, null, [26, 36], [94], [42], [51], [7, 75], [25, 76, 86], [28, 66, 77, 90], [45], [64], [67, 88], [16, 17, 29, 38, 62, 93], [9, 15, 30, 33], [24, 27, 83], [34, 44, 48, 84], [43, 85]]","39.0","402.28999999999996","939004","[null, null, null, null, null, null, null, null, null, null, [42], [35, 59], null, null, null, [51], null, null, null, null, [45], [94], null, null, null, [7, 75], [26, 36], [23], [60], [98], [28, 66, 77, 90], [25, 76, 86], [67, 88], [64], [82], [16, 17, 29, 38, 62, 93], [9, 15, 30, 33], [24, 27, 83], [34, 44, 48, 84], [43, 85]]","43.0"
"2","1.LowDemand-LowSharing.txt","GreedyAlgorithmPhase1","25","936.96","628468","[null, null, null, null, null, null, null, null, null, null, [89], [67], [69], [73], [57], [54, 83], [74, 75], [4, 16, 78, 87], [32, 45, 48], [22, 96], [11, 90], [31, 76], [62, 68, 84], [15, 42], [2, 38, 50], [26, 34, 88], [0, 25, 64], [9, 37, 39, 47, 80, 98], [35, 43, 60], [66, 77], [51, 53, 91], [17, 30, 36, 56, 82, 93], [46, 58, 63, 71], [8, 14, 29, 44, 97], [7, 79, 95], [6, 13, 20, 27, 28, 33, 59, 72, 81, 86, 92], [1, 12, 40, 52, 70, 94, 99], [5, 55, 65, 85], [19, 21, 24, 49, 61], [3, 10, 18, 23, 41]]","100.0","936.9600000000003","628468","[[57], null, null, null, null, [89], [67], [73], null, null, [4, 16, 78, 87], [69], [22, 96], null, null, [15, 42], [11, 90], [32, 45, 48], [54, 83], [74, 75], [62, 68, 84], [2, 38, 50], [31, 76], null, null, [0, 25, 64], [66, 77], [9, 37, 39, 47, 80, 98], [35, 43, 60], [26, 34, 88], [46, 58, 63, 71], [8, 14, 29, 44, 97], [17, 30, 36, 56, 82, 93], [7, 79, 95], [51, 53, 91], [6, 13, 20, 27, 28, 33, 59, 72, 81, 86, 92], [1, 12, 40, 52, 70, 94, 99], [5, 55, 65, 85], [19, 21, 24, 49, 61], [3, 10, 18, 23, 41]]","100.0"
"2","2.LowDemand-AverageSharing.txt","GreedyAlgorithmPhase1","22","936.9600000000002","1115472","[null, null, null, null, null, null, null, null, null, null, [89], [38], [45, 74], [67], [91], [69], [54, 70], [8, 22, 46], [63, 75], [49, 55], [32, 73, 77], [31, 56], [19, 60, 64], [35, 41, 61], [14, 50, 79, 97], [7, 36, 39, 82], [53, 98], [26, 30], [68, 76, 93], [9, 62, 83], [3, 10, 21, 90], [2, 29, 42], [11, 23, 88, 96, 99], [0, 4, 80], [17, 47, 48, 57, 65, 95], [6, 12, 13, 16, 20, 24, 27, 28, 33, 37, 51, 58, 59, 72, 81], [34, 44, 52, 84, 86], [1, 5, 78, 87], [15, 18, 40, 71, 85, 94], [25, 43, 66, 92]]","100.0","936.96","1115472","[[38], [91], [45, 74], null, null, [89], [67], null, null, null, [69], null, null, null, null, [35, 41, 61], [49, 55], [8, 22, 46], [54, 70], [63, 75], [19, 60, 64], [14, 50, 79, 97], [32, 73, 77], [31, 56], null, [26, 30], [7, 36, 39, 82], [68, 76, 93], [53, 98], [9, 62, 83], [11, 23, 88, 96, 99], [3, 10, 21, 90], [17, 47, 48, 57, 65, 95], [2, 29, 42], [0, 4, 80], [6, 12, 13, 16, 20, 24, 27, 28, 33, 37, 51, 58, 59, 72, 81], [34, 44, 52, 84, 86], [15, 18, 40, 71, 85, 94], [1, 5, 78, 87], [25, 43, 66, 92]]","100.0"
